county,fips,date_local,pm2.5_avg
Atascosa,48013,2020-12-26,4.458333333333333
Atascosa,48013,2020-12-27,4.208333333333333
Atascosa,48013,2020-12-28,4.125
Atascosa,48013,2020-12-29,5.416666666666667
Atascosa,48013,2020-12-30,8.304347826086957
Atascosa,48013,2020-12-31,1.7083333333333333
Atascosa,48013,2021-01-01,4.625
Atascosa,48013,2021-01-02,3.7916666666666665
Atascosa,48013,2021-01-03,6.333333333333333
Atascosa,48013,2021-01-04,6.458333333333333
Atascosa,48013,2021-01-05,7.791666666666667
Atascosa,48013,2021-01-06,3.5
Atascosa,48013,2021-01-07,3.2916666666666665
Atascosa,48013,2021-01-08,5
Atascosa,48013,2021-01-09,6
Atascosa,48013,2021-01-10,6.041666666666667
Atascosa,48013,2021-01-11,5.416666666666667
Atascosa,48013,2021-01-12,8.541666666666666
Atascosa,48013,2021-01-13,8.909090909090908
Atascosa,48013,2021-01-14,7.833333333333333
Atascosa,48013,2021-01-15,3.375
Atascosa,48013,2021-01-16,4.458333333333333
Atascosa,48013,2021-01-17,14.375
Atascosa,48013,2021-01-18,11.791666666666666
Atascosa,48013,2021-01-19,7.458333333333333
Atascosa,48013,2021-01-20,8.125
Atascosa,48013,2021-01-21,8.458333333333334
Atascosa,48013,2021-01-22,8.625
Atascosa,48013,2021-01-23,11.208333333333334
Atascosa,48013,2021-01-24,11
Atascosa,48013,2021-01-25,9.875
Atascosa,48013,2021-01-26,4.260869565217392
Atascosa,48013,2021-01-27,3.6666666666666665
Atascosa,48013,2021-01-28,9.25
Atascosa,48013,2021-01-29,9.458333333333334
Atascosa,48013,2021-01-30,13.166666666666666
Atascosa,48013,2021-01-31,7.541666666666667
Atascosa,48013,2021-02-01,2.6666666666666665
Atascosa,48013,2021-02-02,6.333333333333333
Atascosa,48013,2021-02-03,6.833333333333333
Atascosa,48013,2021-02-04,6.5
Atascosa,48013,2021-02-05,6.619047619047619
Atascosa,48013,2021-02-06,7.916666666666667
Atascosa,48013,2021-02-07,7.083333333333333
Atascosa,48013,2021-02-08,10.208333333333334
Atascosa,48013,2021-02-09,15.041666666666666
Atascosa,48013,2021-02-10,13.916666666666666
Atascosa,48013,2021-02-11,4.625
Atascosa,48013,2021-02-12,11.416666666666666
Atascosa,48013,2021-02-13,10.041666666666666
Atascosa,48013,2021-02-14,7.375
Atascosa,48013,2021-02-15,5.708333333333333
Atascosa,48013,2021-02-16,7.9375
Atascosa,48013,2021-02-17,13.8
Atascosa,48013,2021-02-18,12.416666666666666
Atascosa,48013,2021-02-19,10.130434782608695
Atascosa,48013,2021-02-20,10.041666666666666
Atascosa,48013,2021-02-21,7.125
Atascosa,48013,2021-02-22,3.375
Atascosa,48013,2021-02-23,7.375
Atascosa,48013,2021-02-24,10.25
Atascosa,48013,2021-02-25,10.458333333333334
Atascosa,48013,2021-02-26,12.166666666666666
Atascosa,48013,2021-02-27,14.708333333333334
Atascosa,48013,2021-02-28,17.958333333333332
Atascosa,48013,2021-03-01,4.083333333333333
Atascosa,48013,2021-03-02,2.875
Atascosa,48013,2021-03-03,5.333333333333333
Atascosa,48013,2021-03-04,6.791666666666667
Atascosa,48013,2021-03-05,6.375
Atascosa,48013,2021-03-06,7.833333333333333
Atascosa,48013,2021-03-07,9.666666666666666
Atascosa,48013,2021-03-08,9.2
Atascosa,48013,2021-03-09,11.25
Atascosa,48013,2021-03-10,9.5
Atascosa,48013,2021-03-11,12.541666666666666
Atascosa,48013,2021-03-12,11.083333333333334
Atascosa,48013,2021-03-13,9.333333333333334
Atascosa,48013,2021-03-14,9.208333333333334
Atascosa,48013,2021-03-15,13.708333333333334
Atascosa,48013,2021-03-16,13.333333333333334
Atascosa,48013,2021-03-17,14.208333333333334
Atascosa,48013,2021-03-18,3.1666666666666665
Atascosa,48013,2021-03-19,2.7142857142857144
Atascosa,48013,2021-03-20,8.083333333333334
Atascosa,48013,2021-03-21,7.5
Atascosa,48013,2021-03-22,9.458333333333334
Atascosa,48013,2021-03-23,18
Atascosa,48013,2021-03-24,17
Atascosa,48013,2021-03-25,6
Atascosa,48013,2021-03-26,8.583333333333334
Atascosa,48013,2021-03-27,20.541666666666668
Atascosa,48013,2021-03-28,6.75
Atascosa,48013,2021-03-29,6.875
Atascosa,48013,2021-03-30,9.958333333333334
Atascosa,48013,2021-03-31,10.375
Atascosa,48013,2021-04-01,5.666666666666667
Atascosa,48013,2021-04-02,10
Atascosa,48013,2021-04-03,6.708333333333333
Atascosa,48013,2021-04-04,5.041666666666667
Atascosa,48013,2021-04-05,6.208333333333333
Atascosa,48013,2021-04-06,11.208333333333334
Atascosa,48013,2021-04-07,12.333333333333334
Atascosa,48013,2021-04-08,17.083333333333332
Atascosa,48013,2021-04-09,23.347826086956523
Atascosa,48013,2021-04-10,10.958333333333334
Atascosa,48013,2021-04-11,11.375
Atascosa,48013,2021-04-12,19.416666666666668
Atascosa,48013,2021-04-13,16.545454545454547
Atascosa,48013,2021-04-14,22.25
Atascosa,48013,2021-04-15,9.416666666666666
Atascosa,48013,2021-04-16,8.583333333333334
Atascosa,48013,2021-04-17,4
Atascosa,48013,2021-04-18,3.4583333333333335
Atascosa,48013,2021-04-19,6.416666666666667
Atascosa,48013,2021-04-20,7.041666666666667
Atascosa,48013,2021-04-21,3.75
Atascosa,48013,2021-04-22,10.083333333333334
Atascosa,48013,2021-04-23,9.958333333333334
Atascosa,48013,2021-04-24,5.625
Atascosa,48013,2021-04-25,6.166666666666667
Atascosa,48013,2021-04-26,15.380952380952381
Atascosa,48013,2021-04-27,15.833333333333334
Atascosa,48013,2021-04-28,20.583333333333332
Atascosa,48013,2021-04-29,9.125
Atascosa,48013,2021-04-30,4.458333333333333
Atascosa,48013,2021-05-01,3.7916666666666665
Atascosa,48013,2021-05-02,6.916666666666667
Atascosa,48013,2021-05-03,24.666666666666668
Atascosa,48013,2021-05-04,10.416666666666666
Atascosa,48013,2021-05-05,4.875
Atascosa,48013,2021-05-06,7.1
Atascosa,48013,2021-05-07,8.166666666666666
Atascosa,48013,2021-05-08,12.25
Atascosa,48013,2021-05-09,12.458333333333334
Atascosa,48013,2021-05-10,15.208333333333334
Atascosa,48013,2021-05-11,8.833333333333334
Atascosa,48013,2021-05-12,2.9130434782608696
Atascosa,48013,2021-05-13,5.666666666666667
Atascosa,48013,2021-05-14,8.75
Atascosa,48013,2021-05-15,6.75
Atascosa,48013,2021-05-16,4.666666666666667
Atascosa,48013,2021-05-17,12.681818181818182
Atascosa,48013,2021-05-18,6.5
Atascosa,48013,2021-05-19,5.5
Atascosa,48013,2021-05-20,7.666666666666667
Atascosa,48013,2021-05-21,7.708333333333333
Atascosa,48013,2021-05-22,5.875
Atascosa,48013,2021-05-23,5
Atascosa,48013,2021-05-24,7.708333333333333
Atascosa,48013,2021-05-25,10.428571428571429
Atascosa,48013,2021-05-26,10.125
Atascosa,48013,2021-05-27,12
Atascosa,48013,2021-05-28,12.227272727272727
Atascosa,48013,2021-05-29,4.333333333333333
Atascosa,48013,2021-05-30,6.416666666666667
Atascosa,48013,2021-05-31,6.916666666666667
Atascosa,48013,2021-06-01,4.666666666666667
Atascosa,48013,2021-06-02,7
Atascosa,48013,2021-06-03,4.956521739130435
Atascosa,48013,2021-06-04,6.863636363636363
Atascosa,48013,2021-06-05,5.25
Atascosa,48013,2021-06-06,8.25
Atascosa,48013,2021-06-07,18.6
Atascosa,48013,2021-06-08,NA
Atascosa,48013,2021-06-09,NA
Atascosa,48013,2021-06-10,11.071428571428571
Atascosa,48013,2021-06-11,7.625
Atascosa,48013,2021-06-12,6
Atascosa,48013,2021-06-13,7.958333333333333
Atascosa,48013,2021-06-14,6.541666666666667
Atascosa,48013,2021-06-15,13.833333333333334
Atascosa,48013,2021-06-16,7.166666666666667
Atascosa,48013,2021-06-17,11.833333333333334
Atascosa,48013,2021-06-18,13
Atascosa,48013,2021-06-19,9.708333333333334
Atascosa,48013,2021-06-20,8.583333333333334
Atascosa,48013,2021-06-21,22.791666666666668
Atascosa,48013,2021-06-22,11.25
Atascosa,48013,2021-06-23,16.958333333333332
Atascosa,48013,2021-06-24,13.166666666666666
Atascosa,48013,2021-06-25,16.416666666666668
Atascosa,48013,2021-06-26,10.708333333333334
Atascosa,48013,2021-06-27,5.75
Atascosa,48013,2021-06-28,4.826086956521739
Atascosa,48013,2021-06-29,3.0416666666666665
Atascosa,48013,2021-06-30,4.291666666666667
Atascosa,48013,2021-07-01,6.916666666666667
Atascosa,48013,2021-07-02,4.25
Atascosa,48013,2021-07-03,3.2916666666666665
Atascosa,48013,2021-07-04,4.791666666666667
Atascosa,48013,2021-07-05,9.708333333333334
Atascosa,48013,2021-07-06,5.421052631578948
Atascosa,48013,2021-07-07,2.25
Atascosa,48013,2021-07-08,3.25
Atascosa,48013,2021-07-09,2
Atascosa,48013,2021-07-10,8.458333333333334
Atascosa,48013,2021-07-11,19.125
Atascosa,48013,2021-07-12,20
Atascosa,48013,2021-07-13,13.428571428571429
Atascosa,48013,2021-07-14,10.625
Atascosa,48013,2021-07-15,9.625
Atascosa,48013,2021-07-16,16.416666666666668
Atascosa,48013,2021-07-17,15.5
Atascosa,48013,2021-07-18,7.041666666666667
Atascosa,48013,2021-07-19,5.666666666666667
Atascosa,48013,2021-07-20,8.125
Atascosa,48013,2021-07-21,10
Atascosa,48013,2021-07-22,6.375
Atascosa,48013,2021-07-23,16.833333333333332
Atascosa,48013,2021-07-24,23.625
Atascosa,48013,2021-07-25,16.625
Atascosa,48013,2021-07-26,8
Atascosa,48013,2021-07-27,10.666666666666666
Atascosa,48013,2021-07-28,12.041666666666666
Atascosa,48013,2021-07-29,10.583333333333334
Atascosa,48013,2021-07-30,6.958333333333333
Atascosa,48013,2021-07-31,11.041666666666666
Atascosa,48013,2021-08-01,12.625
Atascosa,48013,2021-08-02,5.833333333333333
Atascosa,48013,2021-08-03,10.625
Atascosa,48013,2021-08-04,13.458333333333334
Atascosa,48013,2021-08-05,7.809523809523809
Atascosa,48013,2021-08-06,6.409090909090909
Atascosa,48013,2021-08-07,10.458333333333334
Atascosa,48013,2021-08-08,8.708333333333334
Atascosa,48013,2021-08-09,10.375
Atascosa,48013,2021-08-10,12
Atascosa,48013,2021-08-11,9.5
Atascosa,48013,2021-08-12,7.375
Atascosa,48013,2021-08-13,4.541666666666667
Atascosa,48013,2021-08-14,4.333333333333333
Atascosa,48013,2021-08-15,5.166666666666667
Atascosa,48013,2021-08-16,7.083333333333333
Atascosa,48013,2021-08-17,3.7083333333333335
Atascosa,48013,2021-08-18,11.833333333333334
Atascosa,48013,2021-08-19,14.916666666666666
Atascosa,48013,2021-08-20,13.791666666666666
Atascosa,48013,2021-08-21,15.708333333333334
Atascosa,48013,2021-08-22,14.166666666666666
Atascosa,48013,2021-08-23,10.125
Atascosa,48013,2021-08-24,9.958333333333334
Atascosa,48013,2021-08-25,6.045454545454546
Atascosa,48013,2021-08-26,7.916666666666667
Atascosa,48013,2021-08-27,5.458333333333333
Atascosa,48013,2021-08-28,4.375
Atascosa,48013,2021-08-29,7.666666666666667
Atascosa,48013,2021-08-30,9.541666666666666
Atascosa,48013,2021-08-31,15.041666666666666
Atascosa,48013,2021-09-01,22.458333333333332
Atascosa,48013,2021-09-02,19.465
Atascosa,48013,2021-09-03,20.05263157894737
Atascosa,48013,2021-09-04,28.333333333333332
Atascosa,48013,2021-09-05,21.833333333333332
Atascosa,48013,2021-09-06,16.291666666666668
Atascosa,48013,2021-09-07,14.375
Atascosa,48013,2021-09-08,12.791666666666666
Atascosa,48013,2021-09-09,11.208333333333334
Atascosa,48013,2021-09-10,11.916666666666666
Atascosa,48013,2021-09-11,6.625
Atascosa,48013,2021-09-12,6.833333333333333
Atascosa,48013,2021-09-13,5.375
Atascosa,48013,2021-09-14,8.125
Atascosa,48013,2021-09-15,3.8333333333333335
Atascosa,48013,2021-09-16,5.708333333333333
Atascosa,48013,2021-09-17,6.75
Atascosa,48013,2021-09-18,8.5
Atascosa,48013,2021-09-19,7.333333333333333
Atascosa,48013,2021-09-20,8
Atascosa,48013,2021-09-21,14.458333333333334
Atascosa,48013,2021-09-22,3.0416666666666665
Atascosa,48013,2021-09-23,6.416666666666667
Atascosa,48013,2021-09-24,5.25
Atascosa,48013,2021-09-25,6.166666666666667
Atascosa,48013,2021-09-26,6.541666666666667
Atascosa,48013,2021-09-27,5.75
Atascosa,48013,2021-09-28,5.521739130434782
Atascosa,48013,2021-09-29,1.1666666666666667
Atascosa,48013,2021-09-30,6.458333333333333
Atascosa,48013,2021-10-01,1.3333333333333333
Atascosa,48013,2021-10-02,6.708333333333333
Atascosa,48013,2021-10-03,7.791666666666667
Atascosa,48013,2021-10-04,6.625
Atascosa,48013,2021-10-05,7.5
Atascosa,48013,2021-10-06,6.75
Atascosa,48013,2021-10-07,8.272727272727273
Atascosa,48013,2021-10-08,10.625
Atascosa,48013,2021-10-09,6.458333333333333
Atascosa,48013,2021-10-10,10.083333333333334
Atascosa,48013,2021-10-11,3.875
Atascosa,48013,2021-10-12,15.75
Atascosa,48013,2021-10-13,11.583333333333334
Atascosa,48013,2021-10-14,3.5833333333333335
Atascosa,48013,2021-10-15,8.375
Atascosa,48013,2021-10-16,2.9583333333333335
Atascosa,48013,2021-10-17,5.458333333333333
Atascosa,48013,2021-10-18,5.541666666666667
Atascosa,48013,2021-10-19,4.541666666666667
Atascosa,48013,2021-10-20,5.416666666666667
Atascosa,48013,2021-10-21,10.416666666666666
Atascosa,48013,2021-10-22,12.416666666666666
Atascosa,48013,2021-10-23,6.083333333333333
Atascosa,48013,2021-10-24,4.708333333333333
Atascosa,48013,2021-10-25,5.25
Atascosa,48013,2021-10-26,8.5
Atascosa,48013,2021-10-27,9
Atascosa,48013,2021-10-28,2.75
Atascosa,48013,2021-10-29,1.5416666666666667
Atascosa,48013,2021-10-30,8.571428571428571
Atascosa,48013,2021-10-31,5.708333333333333
Atascosa,48013,2021-11-01,4.75
Atascosa,48013,2021-11-02,5.739130434782608
Atascosa,48013,2021-11-03,2.7083333333333335
Atascosa,48013,2021-11-04,4.125
Atascosa,48013,2021-11-05,5.75
Atascosa,48013,2021-11-06,10.458333333333334
Atascosa,48013,2021-11-07,10.208333333333334
Atascosa,48013,2021-11-08,5.25
Atascosa,48013,2021-11-09,5.791666666666667
Atascosa,48013,2021-11-10,4.541666666666667
Atascosa,48013,2021-11-11,2.4166666666666665
Atascosa,48013,2021-11-12,6.666666666666667
Atascosa,48013,2021-11-13,3.090909090909091
Atascosa,48013,2021-11-14,5.041666666666667
Atascosa,48013,2021-11-15,5.333333333333333
Atascosa,48013,2021-11-16,5.791666666666667
Atascosa,48013,2021-11-17,4.541666666666667
Atascosa,48013,2021-11-18,3.3043478260869565
Atascosa,48013,2021-11-19,4.958333333333333
Atascosa,48013,2021-11-20,9.095238095238095
Atascosa,48013,2021-11-21,5.291666666666667
Atascosa,48013,2021-11-22,3.7083333333333335
Atascosa,48013,2021-11-23,9.166666666666666
Atascosa,48013,2021-11-24,9.458333333333334
Atascosa,48013,2021-11-25,3.4583333333333335
Atascosa,48013,2021-11-26,4.5
Atascosa,48013,2021-11-27,10.777777777777779
Atascosa,48013,2021-11-28,4.636363636363637
Atascosa,48013,2021-11-29,8.75
Atascosa,48013,2021-11-30,6.875
Atascosa,48013,2021-12-01,6.666666666666667
Atascosa,48013,2021-12-02,6.291666666666667
Atascosa,48013,2021-12-03,6.857142857142857
Atascosa,48013,2021-12-04,9.791666666666666
Atascosa,48013,2021-12-05,7.833333333333333
Atascosa,48013,2021-12-06,5.625
Atascosa,48013,2021-12-07,5.708333333333333
Atascosa,48013,2021-12-08,10.142857142857142
Atascosa,48013,2021-12-09,18.333333333333332
Atascosa,48013,2021-12-10,23.083333333333332
Atascosa,48013,2021-12-11,4.791666666666667
Atascosa,48013,2021-12-12,6.833333333333333
Atascosa,48013,2021-12-13,6.958333333333333
Atascosa,48013,2021-12-14,10.142857142857142
Atascosa,48013,2021-12-15,8.625
Atascosa,48013,2021-12-16,9.625
Atascosa,48013,2021-12-17,8.583333333333334
Atascosa,48013,2021-12-18,4.916666666666667
Atascosa,48013,2021-12-19,3.625
Atascosa,48013,2021-12-20,5.5
Atascosa,48013,2021-12-21,10.125
Atascosa,48013,2021-12-22,9
Atascosa,48013,2021-12-23,8.458333333333334
Atascosa,48013,2021-12-24,10.333333333333334
Atascosa,48013,2021-12-25,10.833333333333334
Atascosa,48013,2021-12-26,16.25
Atascosa,48013,2021-12-27,13.875
Atascosa,48013,2021-12-28,17.761904761904763
Atascosa,48013,2021-12-29,28.625
Atascosa,48013,2021-12-30,20.416666666666668
Atascosa,48013,2021-12-31,18.375
Atascosa,48013,2022-01-01,19.291666666666668
Atascosa,48013,2022-01-02,3.4583333333333335
Atascosa,48013,2022-01-03,5.125
Atascosa,48013,2022-01-04,7.25
Atascosa,48013,2022-01-05,7.25
Atascosa,48013,2022-01-06,6.625
Atascosa,48013,2022-01-07,10.083333333333334
Atascosa,48013,2022-01-08,12.458333333333334
Atascosa,48013,2022-01-09,7.375
Atascosa,48013,2022-01-10,3.2142857142857144
Atascosa,48013,2022-01-11,4.208333333333333
Atascosa,48013,2022-01-12,8.333333333333334
Atascosa,48013,2022-01-13,8.217391304347826
Atascosa,48013,2022-01-14,10
Atascosa,48013,2022-01-15,4.083333333333333
Atascosa,48013,2022-01-16,4.833333333333333
Atascosa,48013,2022-01-17,8.105263157894736
Atascosa,48013,2022-01-18,8.166666666666666
Atascosa,48013,2022-01-19,9.291666666666666
Atascosa,48013,2022-01-20,5.291666666666667
Atascosa,48013,2022-01-21,4.333333333333333
Atascosa,48013,2022-01-22,6.541666666666667
Atascosa,48013,2022-01-23,6.625
Atascosa,48013,2022-01-24,6.791666666666667
Atascosa,48013,2022-01-25,8.041666666666666
Atascosa,48013,2022-01-26,10.083333333333334
Atascosa,48013,2022-01-27,9.375
Atascosa,48013,2022-01-28,6.181818181818182
Atascosa,48013,2022-01-29,4.904761904761905
Atascosa,48013,2022-01-30,6.666666666666667
Atascosa,48013,2022-01-31,3.375
Atascosa,48013,2022-02-01,4.583333333333333
