county,fips,date_local,ozone_avg
Bell,48027,2018-08-31,46
Bell,48027,2018-09-01,48
Bell,48027,2018-09-02,41
Bell,48027,2018-09-03,36
Bell,48027,2018-09-04,38
Bell,48027,2018-09-05,40
Bell,48027,2018-09-06,41
Bell,48027,2018-09-07,41
Bell,48027,2018-09-08,26
Bell,48027,2018-09-09,27
Bell,48027,2018-09-10,37
Bell,48027,2018-09-11,30
Bell,48027,2018-09-12,33
Bell,48027,2018-09-13,35
Bell,48027,2018-09-14,27
Bell,48027,2018-09-15,36
Bell,48027,2018-09-16,37
Bell,48027,2018-09-17,36
Bell,48027,2018-09-18,49
Bell,48027,2018-09-19,43
Bell,48027,2018-09-20,33
Bell,48027,2018-09-21,26
Bell,48027,2018-09-22,24
Bell,48027,2018-09-23,19
Bell,48027,2018-09-24,27
Bell,48027,2018-09-25,36
Bell,48027,2018-09-26,36
Bell,48027,2018-09-27,43
Bell,48027,2018-09-28,41
Bell,48027,2018-09-29,28
Bell,48027,2018-09-30,34
Bell,48027,2018-10-01,34
Bell,48027,2018-10-02,30
Bell,48027,2018-10-03,40
Bell,48027,2018-10-04,36
Bell,48027,2018-10-05,34
Bell,48027,2018-10-06,34
Bell,48027,2018-10-07,28
Bell,48027,2018-10-08,28
Bell,48027,2018-10-09,32
Bell,48027,2018-10-10,27
Bell,48027,2018-10-11,37
Bell,48027,2018-10-12,51
Bell,48027,2018-10-13,28
Bell,48027,2018-10-14,31
Bell,48027,2018-10-15,21
Bell,48027,2018-10-16,22
Bell,48027,2018-10-17,30
Bell,48027,2018-10-18,26
Bell,48027,2018-10-19,18
Bell,48027,2018-10-20,36
Bell,48027,2018-10-21,43
Bell,48027,2018-10-22,32
Bell,48027,2018-10-23,43
Bell,48027,2018-10-24,22
Bell,48027,2018-10-25,34
Bell,48027,2018-10-26,37
Bell,48027,2018-10-27,41
Bell,48027,2018-10-28,45
Bell,48027,2018-10-29,45
Bell,48027,2018-10-30,41
Bell,48027,2018-10-31,27
Bell,48027,2018-11-01,37
Bell,48027,2018-11-02,41
Bell,48027,2018-11-03,50
Bell,48027,2018-11-04,28
Bell,48027,2018-11-05,36
Bell,48027,2018-11-06,25
Bell,48027,2018-11-07,21
Bell,48027,2018-11-08,16
Bell,48027,2018-11-09,34
Bell,48027,2018-11-10,32
Bell,48027,2018-11-11,24
Bell,48027,2018-11-12,33
Bell,48027,2018-11-13,36
Bell,48027,2018-11-14,38
Bell,48027,2018-11-15,39
Bell,48027,2018-11-16,48
Bell,48027,2018-11-17,48
Bell,48027,2018-11-18,21
Bell,48027,2018-11-19,25
Bell,48027,2018-11-20,34
Bell,48027,2018-11-21,33
Bell,48027,2018-11-22,39
Bell,48027,2018-11-23,40
Bell,48027,2018-11-24,47
Bell,48027,2018-11-25,36
Bell,48027,2018-11-26,33
Bell,48027,2018-11-27,37
Bell,48027,2018-11-28,45
Bell,48027,2018-11-29,38
Bell,48027,2018-11-30,33
Bell,48027,2018-12-01,43
Bell,48027,2018-12-02,33
Bell,48027,2018-12-03,29
Bell,48027,2018-12-04,24
Bell,48027,2018-12-05,30
Bell,48027,2018-12-06,27
Bell,48027,2018-12-07,12
Bell,48027,2018-12-08,15
Bell,48027,2018-12-09,25
Bell,48027,2018-12-10,38
Bell,48027,2018-12-11,44
Bell,48027,2018-12-12,35
Bell,48027,2018-12-13,32
Bell,48027,2018-12-14,33
Bell,48027,2018-12-15,39
Bell,48027,2018-12-16,26
Bell,48027,2018-12-17,29
Bell,48027,2018-12-18,34
Bell,48027,2018-12-19,20
Bell,48027,2018-12-20,38
Bell,48027,2018-12-21,39
